epsilon,qtable
"[1.0, 0.6310761262079098, 0.9029374969541931, 0.5995558743244771]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.865782272,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.8926258176,0.0,0.0,0.0],[0.0,0.0,0.0,5.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.8926258176,0.0],[0.0,0.0,0.0,0.0,0.0,-0.488]"
"[1.0, 0.6310761262079098, 0.9029374969541931, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.865782272,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.8926258176,0.0],[0.0,0.0,0.0,0.0,0.0,-0.488]"
"[1.0, 0.6310761262079098, 0.7358801336986425, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.865782272,0.0,0.0,0.0,0.0,0.0],[0.0,-0.7378560000000001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.8926258176,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.5995558743244771, 0.7358801336986425, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.8926258176,0.0,0.0,0.0,0.0,0.0],[0.0,-0.7378560000000001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.9141006540800001,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.54114615277887, 0.7358801336986425, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.931280523264,0.0,0.0,0.0,0.0,0.0],[0.0,-0.7378560000000001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.931280523264,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.5141060250084344, 0.7358801336986425, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9450244186112,0.0,0.0,0.0,0.0,0.0],[0.0,-0.7378560000000001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.9450244186112,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.46400473938646347, 0.7358801336986425, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9648156279111679,0.0,0.0,0.0,0.0,0.0],[0.0,-0.7378560000000001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.95601953488896,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.46400473938646347, 0.5995558743244771, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9648156279111679,0.0,0.0,0.0,0.0,0.0],[0.0,-0.8926258176,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,-0.9648156279111679,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.46400473938646347, 0.5696049241512742, 0.54114615277887]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9648156279111679,0.0,0.0,0.0,0.0,0.0],[0.0,-0.9141006540800001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.931280523264,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,4.228147497671065,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.46400473938646347, 0.5696049241512742, 0.5141060250084344]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9648156279111679,0.0,0.0,0.0,0.0,0.0],[0.0,-0.9141006540800001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.9450244186112,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,8.551643898043695,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.3978463164355029, 0.5696049241512742, 0.5141060250084344]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.981985601490518,0.0,0.0,0.0,0.0,0.0],[0.0,-0.9141006540800001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.9450244186112,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,12.183380874356704,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.3779585042133429, 0.5696049241512742, 0.5141060250084344]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9855884811924144,0.0,0.0,0.0,0.0,0.0],[0.0,-0.9141006540800001,0.0,0.0,0.0,0.0],[0.0,0.0,-0.9450244186112,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,10.034039934459631,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.3779585042133429, 0.54114615277887, 0.5141060250084344]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9855884811924144,0.0,0.0,0.0,0.0,0.0],[0.0,-0.931280523264,0.0,0.0,0.0,0.0],[0.0,0.0,-0.9450244186112,0.0,0.0,0.0],[0.0,0.0,0.0,9.2,0.0,0.0],[0.0,0.0,0.0,0.0,8.22859354494609,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
"[1.0, 0.3779585042133429, 0.54114615277887, 0.46400473938646347]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.9855884811924144,0.0,0.0,0.0,0.0,0.0],[0.0,-0.931280523264,0.0,0.0,0.0,0.0],[0.0,0.0,-0.9648156279111679,0.0,0.0,0.0],[0.0,0.0,0.0,12.728,0.0,0.0],[0.0,0.0,0.0,0.0,8.22859354494609,0.0],[0.0,0.0,0.0,0.0,0.0,-0.5904]"
